2016-11-06 02:38:48,104 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(te,te)'
2016-11-06 02:38:48,105 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.lb.LuxembourgishPreprocess'
2016-11-06 02:38:50,197 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.lb.EvenMoreMinimalisticPosTagger(lb)'
2016-11-06 02:38:50,232 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.lb.LuxembourgishPhonemiser'
2016-11-06 02:38:50,268 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JTokeniser'
2016-11-06 02:38:50,270 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Preprocess'
2016-11-06 02:38:50,272 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(de,de.pos)'
2016-11-06 02:38:50,272 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JPhonemiser'
2016-11-06 02:38:50,288 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Prosody'
2016-11-06 02:38:50,290 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Postlex'
2016-11-06 02:38:50,292 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(de)'
2016-11-06 02:38:50,302 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale tr).
2016-11-06 02:38:50,305 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-06 02:38:50,308 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-06 02:38:50,308 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale tr).
2016-11-06 02:38:50,311 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-11-06 02:38:50,311 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-11-06 02:38:50,311 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale fr).
2016-11-06 02:38:50,313 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-06 02:38:50,313 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-06 02:38:50,313 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale fr).
2016-11-06 02:38:50,313 [main] INFO  marytts.Preprocess Starting power-on self test.
2016-11-06 02:38:50,338 [main] INFO  marytts.Preprocess Power-on self test complete.
2016-11-06 02:38:50,338 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale fr).
2016-11-06 02:38:50,339 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-11-06 02:38:50,339 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-11-06 02:38:50,340 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale ru).
2016-11-06 02:38:50,482 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-11-06 02:38:50,507 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-11-06 02:38:50,507 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2016-11-06 02:38:50,508 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2016-11-06 02:38:50,508 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2016-11-06 02:38:50,508 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale ru).
2016-11-06 02:38:50,509 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-06 02:38:50,509 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-06 02:38:50,536 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2016-11-06 02:38:50,536 [main] INFO  marytts.Prosody Starting power-on self test.
2016-11-06 02:38:50,536 [main] INFO  marytts.Prosody Power-on self test complete.
2016-11-06 02:38:50,536 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale ru).
2016-11-06 02:38:50,539 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-11-06 02:38:50,539 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-11-06 02:38:50,540 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2016-11-06 02:38:50,640 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-11-06 02:38:50,640 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-11-06 02:38:50,640 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2016-11-06 02:38:50,641 [main] INFO  marytts.Preprocess Starting power-on self test.
2016-11-06 02:38:50,641 [main] INFO  marytts.Preprocess Power-on self test complete.
2016-11-06 02:38:50,641 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2016-11-06 02:38:50,642 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-06 02:38:50,642 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-06 02:38:50,643 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2016-11-06 02:38:50,644 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-06 02:38:50,644 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-06 02:38:50,669 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2016-11-06 02:38:50,669 [main] INFO  marytts.Prosody Starting power-on self test.
2016-11-06 02:38:50,669 [main] INFO  marytts.Prosody Power-on self test complete.
2016-11-06 02:38:50,671 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2016-11-06 02:38:50,672 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2016-11-06 02:38:50,677 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2016-11-06 02:38:50,678 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2016-11-06 02:38:50,678 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2016-11-06 02:38:50,678 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2016-11-06 02:38:50,679 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2016-11-06 02:38:55,107 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-11-06 02:38:55,107 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-11-06 02:38:55,107 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale sv).
2016-11-06 02:38:55,108 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-06 02:38:55,108 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-06 02:38:55,109 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale sv).
2016-11-06 02:38:55,109 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-11-06 02:38:55,110 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-11-06 02:38:55,111 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale it).
2016-11-06 02:38:55,147 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-11-06 02:38:55,155 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-11-06 02:38:55,155 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale it).
2016-11-06 02:38:55,156 [main] INFO  marytts.Preprocess Starting power-on self test.
2016-11-06 02:38:55,159 [main] INFO  marytts.Preprocess Expanding say-as elements...
2016-11-06 02:38:55,161 [main] INFO  marytts.Preprocess Matching and expanding patterns...
2016-11-06 02:38:55,178 [main] INFO  marytts.Preprocess Done.
2016-11-06 02:38:55,178 [main] INFO  marytts.Preprocess Power-on self test complete.
2016-11-06 02:38:55,178 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale it).
2016-11-06 02:38:55,179 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-06 02:38:55,179 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-06 02:38:55,179 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale it).
2016-11-06 02:38:57,027 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-11-06 02:38:57,028 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-11-06 02:38:57,043 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale it).
2016-11-06 02:38:57,043 [main] INFO  marytts.Prosody Starting power-on self test.
2016-11-06 02:38:57,044 [main] INFO  marytts.Prosody Power-on self test complete.
2016-11-06 02:38:57,044 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale it).
2016-11-06 02:38:57,044 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2016-11-06 02:38:57,045 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2016-11-06 02:38:57,050 [main] INFO  marytts.UnitSelectionSynthesizer started.
2016-11-06 02:38:57,053 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2016-11-06 02:38:57,053 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2016-11-06 02:38:57,106 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2016-11-06 02:38:57,301 [main] INFO  marytts.HMMData Loading GV Model Set:
2016-11-06 02:38:57,837 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2016-11-06 02:38:57,837 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2016-11-06 02:38:57,837 [main] INFO  marytts.HMMSynthesizer started.
2016-11-06 02:38:57,837 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2016-11-06 02:38:57,838 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2016-11-06 02:38:57,895 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2016-11-06 02:38:57,903 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=7  Total number of states numState=35
2016-11-06 02:38:57,903 [main] INFO  marytts.HTSEngine Total number of frames=147  Number of voiced frames=89
2016-11-06 02:38:57,931 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2016-11-06 02:38:57,931 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2016-11-06 02:38:57,958 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=23
2016-11-06 02:38:57,996 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=54
2016-11-06 02:38:58,035 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=38
2016-11-06 02:38:58,054 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=20
